,Sample_ID,gid,Sample_Longitude,Sample_Latitude
386,SSS019-3,131,-121.1285,47.0195
387,SSS020-1,132,-121.0983,46.9891
388,SSS020-2,132,-121.0983,46.9891
389,SSS020-3,132,-121.0983,46.9891
390,SSS021-1,133,-121.1082,47.3543
391,SSS021-2,133,-121.1082,47.3543
392,SSS021-3,133,-121.1082,47.3543
393,SSS022-1,134,-121.1073,47.4636
394,SSS022-2,134,-121.1073,47.4636
395,SSS022-3,134,-121.1073,47.4636
396,SSS023-1,135,-120.6423,46.8986
397,SSS023-2,135,-120.6423,46.8986
398,SSS023-3,135,-120.6423,46.8986
399,SSS024-1,136,-120.7125,46.8331
400,SSS024-2,136,-120.7125,46.8331
401,SSS024-3,136,-120.7125,46.8331
402,SSS025-1,137,-120.1377,46.2752
403,SSS025-2,137,-120.1377,46.2752
404,SSS025-3,137,-120.1377,46.2752
405,SSS026-1,138,-120.1991,46.3147
406,SSS026-2,138,-120.1991,46.3147
407,SSS026-3,138,-120.1991,46.3147
408,SSS027-1,139,-120.4197,46.2354
409,SSS027-2,139,-120.4197,46.2354
410,SSS027-3,139,-120.4197,46.2354
411,SSS028-1,140,-120.8717,46.2902
412,SSS028-2,140,-120.8717,46.2902
413,SSS028-3,140,-120.8717,46.2902
414,SSS029-1,141,-120.7891,46.3111
415,SSS029-2,141,-120.7891,46.3111
416,SSS029-3,141,-120.7891,46.3111
417,SSS030-1,142,-120.6704,46.3656
418,SSS030-2,142,-120.6704,46.3656
419,SSS030-3,142,-120.6704,46.3656
420,SSS031-1,143,-121.094,46.6674
421,SSS031-2,143,-121.094,46.6674
422,SSS031-3,143,-121.094,46.6674
423,SSS032-1,144,-121.2901,46.6399
424,SSS032-2,144,-121.2901,46.6399
425,SSS032-3,144,-121.2901,46.6399
426,SSS033-1,145,-121.2631,46.6382
427,SSS033-2,145,-121.2631,46.6382
428,SSS033-3,145,-121.2631,46.6382
429,SSS034-1,146,-121.0977,47.3966
430,SSS034-2,146,-121.0977,47.3966
431,SSS034-3,146,-121.0977,47.3966
432,SSS035-1,147,-121.104,47.3956
433,SSS035-2,147,-121.104,47.3956
434,SSS035-3,147,-121.104,47.3956
435,SSS036-1,148,-120.7743,46.8674
436,SSS036-2,148,-120.7743,46.8674
437,SSS036-3,148,-120.7743,46.8674
438,SSS037-1,149,-120.6496,46.0168
439,SSS037-2,149,-120.6496,46.0168
440,SSS037-3,149,-120.6496,46.0168
441,SSS038-1,150,-120.6364,46.029
442,SSS038-2,150,-120.6364,46.029
443,SSS038-3,150,-120.6364,46.029
444,SSS039-1,151,-120.6115,46.0284
445,SSS039-2,151,-120.6115,46.0284
446,SSS039-3,151,-120.6115,46.0284
447,SSS040-1,152,-120.9404,46.6833
448,SSS040-2,152,-120.9404,46.6833
449,SSS040-3,152,-120.9404,46.6833
450,SSS041-1,153,-120.8135,46.7239
451,SSS041-2,153,-120.8135,46.7239
452,SSS041-3,153,-120.8135,46.7239
453,SSS042-1,154,-120.8041,46.7298
454,SSS042-2,154,-120.8041,46.7298
455,SSS042-3,154,-120.8041,46.7298
456,SSS043-1,155,-121.2466,46.9006
457,SSS043-2,155,-121.2466,46.9006
458,SSS043-3,155,-121.2466,46.9006
459,SSS044-1,156,-121.158,46.9754
460,SSS044-2,156,-121.158,46.9754
461,SSS044-3,156,-121.158,46.9754
462,SSS045-1,157,-121.1579,46.976
463,SSS045-2,157,-121.1579,46.976
464,SSS045-3,157,-121.1579,46.976
465,SSS046-1,158,-120.8346,47.1683
466,SSS046-2,158,-120.8346,47.1683
467,SSS046-3,158,-120.8346,47.1683
468,SSS047-1,159,-120.9213,47.1857
469,SSS047-2,159,-120.9213,47.1857
470,SSS047-3,159,-120.9213,47.1857
471,SSS048-1,160,-120.7334,47.0822
472,SSS048-2,160,-120.7334,47.0822
473,SSS048-3,160,-120.7334,47.0822
